practice_code,practice_name
101,CNMP Design and Implementation Activity
102,Comprehensive Nutrient Management Plan
104,Nutrient Management Plan - Written
106,Forest Management Plan
110,Grazing Management Plan
112,Prescribed Burning Plan - Written
114,Integrated Pest Management Plan - Written
116,Soil Health Management Plan
118,Irrigation Water Management Plan - Written
120,Agricultural Energy Design
122,"Agricultural Energy Management Plan, Headquarters - Written"
124,"Agricultural  Energy Management Plan, Landscape - Written"
128,Agricultural Energy Management Plan - Written
130,Drainage Water Management Plan - Written
132,Soil Resources Planning - Written
136,Agricultural Energy Design Plan - Written
138,Conservation Plan Supporting Organic Transition
140,Transition to Organic Design
142,Fish and Wildlife Habitat Plan - Written
144,Fish and Wildlife Habitat Design
146,Pollinator Habitat Plan - Written
148,Pollinator Habitat Design
154,IPM Herbicide Resistance Weed Conservation Plan - Written
157,Nutrient Management Design and Implementation Activity
159,Grazing Management Design
160,Prescribed Burning  Design
161,Pest Management Conservation System Design
162,Soil Health Management System Design
163,Irrigation Water Management Design
164,Improved Management of Drainage Water Design
165,Forest Management Practice Design
199,Conservation Plan
201,Edge-of-Field Water Quality Monitoring-Data Collection and Evaluation
202,Edge-of-Field Water Quality Monitoring-System Installation
207,Site Assessment and Soil Testing for Contaminants Activity
216,Soil Health Testing
217,Soil and Source Testing for Nutrient Management
222,Indigenous Stewardship Methods Evaluation
223,Forest Management Assessment
224,Aquifer Flow Test
228,Agricultural Energy Assessment
297,Feral Swine Damage Assessment
309,Agrichemical Handling Facility
311,Alley Cropping
313,Waste Storage Facility
314,Brush Management
315,Herbaceous Weed Treatment
316,Animal Mortality Facility
317,Composting Facility
319,On-Farm Secondary Containment Facility
320,Irrigation Canal or Lateral
324,Deep Tillage
325,High Tunnel System
326,Clearing and Snagging
327,Conservation Cover
328,Conservation Crop Rotation
329,"Residue and Tillage Management, No Till"
330,Contour Farming
331,Contour Orchard and Other Perennial Crops
332,Contour Buffer Strips
333,Amending Soil Properties with Gypsum Products
334,Controlled Traffic Farming
338,Prescribed Burning
340,Cover Crop
342,Critical Area Planting
344,"Residue Management, Seasonal"
345,"Residue and Tillage Management, Reduced Till"
346,"Residue and Tillage Management, Ridge Till"
348,"Dam, Diversion"
350,Sediment Basin
351,Well Decommissioning
355,Groundwater Testing
356,Dike and Levee
359,Waste Treatment Lagoon
360,Waste Facility Closure
362,Diversion
366,Anaerobic Digester
367,Roofs and Covers
368,Emergency Animal Mortality Management
372,Combustion System Improvement
373,Dust Control on Unpaved Roads and Surfaces
374,Energy Efficient Agricultural Operation
375,Dust Management for Pen Surfaces
376,Field Operations Emissions Reduction
378,Pond
379,Forest Farming
380,Windbreak/Shelterbelt Establishment and Renovation
381,Silvopasture
382,Fence
383,Fuel Break
384,Woody Residue Treatment
386,Field Border
388,Irrigation Field Ditch
390,Riparian Herbaceous Cover
391,Riparian Forest Buffer
393,Filter Strip
394,Firebreak
395,Stream Habitat Improvement and Management
396,Aquatic Organism Passage
397,Aquaculture Pond
398,Fish Raceway or Tank
399,Fishpond Management
400,Bivalve Aquaculture Gear and Biofouling Control
402,Dam
410,Grade Stabilization Structure
412,Grassed Waterway
420,Wildlife Habitat Planting
422,Hedgerow Planting
423,Hillside Ditch
428,Irrigation Ditch Lining
430,Irrigation Pipeline
432,Dry Hydrant
436,Irrigation Reservoir
441,"Irrigation System, Microirrigation"
442,Sprinkler System
443,"Irrigation System, Surface and Subsurface"
447,Irrigation and Drainage Tailwater Recovery
449,Irrigation Water Management
450,Anionic Polyacrylamide (PAM) Application
457,Mine Shaft and Adit Closing
460,Land Clearing
462,Precision Land Forming and Smoothing
464,Irrigation Land Leveling
466,Land Smoothing
468,Lined Waterway or Outlet
472,Access Control
484,Mulching
490,Tree/Shrub Site Preparation
500,Obstruction Removal
511,Forage Harvest Management
512,Pasture and Hay Planting
516,Livestock Pipeline
520,"Pond Sealing or Lining, Compacted Soil Treatment"
521,"Pond Sealing or Lining, Geomembrane or Geosynthetic Clay Liner"
521A,"Pond Sealing or Lining, Flexible Membrane"
521B,"Pond Sealing or Lining, Soil Dispersant"
521C,"Pond Sealing or Lining, Bentonite Sealant"
521D,"Pond Sealing or Lining, Compacted Clay Treatment"
522,Pond Sealing or Lining - Concrete
527,Sinkhole Treatment
528,Prescribed Grazing
533,Pumping Plant
548,Grazing Land Mechanical Treatment
550,Range Planting
554,Drainage Water Management
555,Rock Wall Terrace
557,Row Arrangement
558,Roof Runoff Structure
560,Access Road
561,Heavy Use Area Protection
568,Trails and Walkways
570,Stormwater Runoff Control
572,Spoil Disposal
574,Spring Development
575,Trails and Walkways
576,Livestock Shelter Structure
578,Stream Crossing
580,Streambank and Shoreline Protection
582,Open Channel
584,Channel Bed Stabilization
585,Stripcropping
587,Structure for Water Control
590,Nutrient Management
591,Amendments for Treatment of Agricultural Waste
592,Feed Management
595,Pest Management Conservation System
600,Terrace
601,Vegetative Barrier
603,Herbaceous Wind Barriers
604,Saturated Buffer
605,Denitrifying Bioreactor
606,Subsurface Drain
607,"Surface Drain, Field Ditch"
608,"Surface Drain, Main or Lateral"
610,Salinity and Sodic Soil Management
612,Tree/Shrub Establishment
614,Watering Facility
620,Underground Outlet
629,Waste Treatment
630,Vertical Drain
632,Waste Separation Facility
633,Waste Recycling
634,Waste Transfer
635,Vegetated Treatment Area
636,Water Harvesting Catchment
638,Water and Sediment Control Basin
642,Water Well
643,Restoration of Rare or Declining Natural Communities
644,Wetland Wildlife Habitat Management
645,Upland Wildlife Habitat Management
646,Shallow Water Development and Management
647,Early Successional Habitat Development-Mgt
649,Structures for Wildlife
650,Windbreak/Shelterbelt Renovation
654,Road/Trail/Landing Closure and Treatment
655,Forest Trails and Landings
656,Constructed Wetland
657,Wetland Restoration
658,Wetland Creation
659,Wetland Enhancement
660,Tree-Shrub Pruning
666,Forest Stand Improvement
670,Energy Efficient Lighting System
672,Energy Efficient Building Envelope
710,Agricultural Secondary Containment Facility
713,"Fueling Facility, Above Ground Storage"
717,Livestock Shade Structure
720,Control Traffic Farming
724,Water Treatment Facility
734,Fish and Wildlife Structure
737,Reduced Water and Energy Coffee Conveyance System
739,Hillside Bench
740,"Pond Sealing and Lining, Soil Cement"
747,Denitrifying Bioreactor
751,Individual Terrace
753,Infiltration Ditch
755,Well Plugging
756,Field Operations Emissions Reduction
770,Livestock Confinement
770,Livestock Confinement Facility
775,Drainage Ditch Cover
775,Drainage Ditch Covering
782,Phosphorus Removal System
798,Seasonal High Tunnel System for Crops
801,AMENDING SOIL PROPERTIES WITH GYPSIFEROUS PRODUCTS
803,Water Well Disinfection
805,Amending Soil Properties with Lime
808,Soil Carbon Amendment
809,Conservation Harvest Management
810,Annual Forages for Grazing Systems
812,Raised Beds
815,Groundwater Recharge Basin or Trench
817,On-Farm Recharge
818,Water Conservation System
821,Low Tunnel Systems
823,Organic Management
E314A,Brush management to improve wildlife habitat
E315A,Herbaceous weed treatment to create plant communities consistent with the ecological site
E327A,Conservation cover for pollinators and beneficial insects
E327B,Establish Monarch butterfly habitat
E328A,Resource conserving crop rotation
E328D,Leave standing grain crops unharvested to benefit wildlife
E328F,Modifications to improve soil health and increase soil organic matter
E329A,No till to reduce soil erosion
E329D,No till system to increase soil health and soil organic matter content
E334A,Controlled traffic farming to reduce compaction
E338A,"Strategically planned, patch burning for grazing distribution and wildlife habitat"
E340A,Cover crop to reduce soil erosion
E340B,Intensive cover cropping to increase soil health and soil organic matter content
E340C,Use of multi-species cover crops to improve soil health and increase soil organic matter
E340D,Intensive orchard/vineyard floor cover cropping to increase soil health
E340F,Cover crop to minimize soil compaction
E340H,Cover crop to suppress excessive weed pressures and break pest cycles
E345C,Reduced tillage to increase plant-available moisture
E345D,Reduced tillage to increase soil health and soil organic matter content
E382A,Incorporating wildlife friendly fencing for connectivity of wildlife food resources
E382B,Installing electrical fence offsets and wire for cross-fencing to improve grazing management
E383A,Grazing-maintained fuel break to reduce the risk of fire
E384A,Biochar production from woody residue
E386A,Enhanced field borders to reduce soil erosion along the edge(s) of a field
E386B,Enhanced field borders to increase carbon storage along the edge(s) of the field
E390A,Increase riparian herbaceous cover width for sediment and nutrient reduction
E420A,Establish pollinator habitat
E449A,Complete pumping plant evaluation for water savings
E449C,"Advanced Automated IWM - Year 2-5, soil moisture monitoring"
E449D,"Advanced Automated IWM - Year 1, Equipment and soil moisture or water level monitoring"
E449F,"Intermediate IWM - Year 1, Equipment with Soil or Water Level monitoring"
E449G,"Intermediate IWM - Years 2-5, Soil or Water Level monitoring"
E449H,"Intermediate IWM - Years 2 -5, using soil moisture or water level monitoring"
E472A,Manage livestock access to waterbodies to reduce nutrients or pathogens to surface water
E484A,Mulching to improve soil health
E484C,Mulching with natural materials in specialty crops for weed control
E511A,Harvest of crops (hay or small grains) using measures that allow desired species to flush or escape
E511C,Forage testing for improved harvesting methods and hay quality
E512A,Cropland conversion to grass-based agriculture to reduce soil erosion
E512B,Forage and biomass planting to reduce soil erosion or increase organic matter to build soil health
E512C,Cropland conversion to grass for soil organic matter improvement
E512D,Forage plantings that help increase organic matter in depleted soils
E512F,Establishing native grass or legumes in forage base to improve the plant community
E512G,Native grasses or legumes in forage base
E528A,Maintaining quantity and quality of forage for animal health and productivity
